sno,Temperature,pH,Turbidity,Water_quality
0,20.99,7.81,197,Good
1,20.99,7.81,197,Good
2,20.98,7.81,197,Good
3,20.98,7.81,197,Good
4,20.98,7.81,197,Good
5,20.97,7.81,197,Good
6,20.97,7.81,197,Good
7,20.95,7.81,197,Good
8,20.94,7.81,197,Good
9,20.93,7.81,197,Good
10,20.92,7.81,197,Good
11,20.93,7.81,197,Good
12,20.93,7.81,197,Good
13,20.91,7.8,197,Good
14,20.9,7.8,197,Good
15,20.9,7.8,197,Good
16,20.89,7.8,197,Good
17,20.9,7.8,197,Good
18,20.89,7.8,197,Good
19,20.88,7.8,197,Good
20,20.86,7.8,197,Good
21,20.85,7.8,197,Good
22,20.84,7.8,197,Good
23,17.99,7.8,197,Good
24,20.79,7.79,197,Good
25,20.75,7.79,197,Good
26,20.75,7.79,197,Good
27,20.74,7.79,197,Good
28,20.75,7.79,197,Good
29,20.74,7.79,197,Good
30,20.71,7.79,197,Good
31,20.69,7.79,197,Good
32,20.68,7.79,197,Good
33,17.7,7.78,197,Good
34,20.67,7.78,197,Good
35,20.64,7.78,197,Good
36,20.66,7.78,197,Good
37,20.63,7.78,197,Good
38,20.6,7.78,197,Good
39,20.6,7.78,197,Good
40,20.59,7.78,197,Good
41,20.6,7.78,197,Good
42,20.6,7.78,197,Good
43,20.58,7.77,197,Good
44,20.57,7.77,197,Good
45,20.57,7.77,197,Good
46,20.54,7.77,197,Good
47,20.54,7.77,197,Good
48,20.55,7.77,197,Good
49,20.55,7.77,197,Good
50,20.55,7.77,197,Good
51,20.52,7.77,197,Good
52,20.51,7.76,197,Good
53,20.48,7.76,197,Good
54,20.5,7.76,197,Good
55,20.49,7.76,197,Good
56,20.47,7.76,197,Good
57,20.49,7.76,197,Good
58,20.5,7.76,197,Good
59,20.52,7.76,197,Good
60,20.51,7.76,197,Good
61,20.49,7.75,197,Good
62,20.51,7.75,197,Good
63,20.49,7.75,197,Good
64,20.46,7.75,197,Good
65,20.46,7.75,197,Good
66,20.43,7.75,197,Good
67,20.43,7.75,197,Good
68,20.44,7.75,197,Good
69,20.41,7.75,197,Good
70,20.4,7.75,197,Good
71,20.41,7.74,197,Good
72,20.42,7.74,197,Good
73,20.42,7.74,197,Good
74,20.42,7.74,197,Good
75,20.44,7.74,197,Good
76,20.43,7.74,197,Good
77,20.43,7.74,197,Good
78,20.44,7.74,197,Good
79,20.45,7.74,197,Good
80,20.45,7.74,197,Good
81,20.44,7.74,197,Good
82,20.42,7.73,197,Good
83,20.42,7.73,197,Good
84,20.42,7.73,197,Good
85,20.41,7.73,197,Good
86,20.41,7.73,197,Good
87,20.38,7.73,197,Good
88,20.38,7.73,197,Good
89,20.4,7.73,197,Good
90,20.38,7.73,197,Good
91,20.38,7.73,197,Good
92,20.37,7.73,197,Good
93,20.36,7.73,197,Good
94,20.37,7.73,197,Good
95,20.37,7.73,197,Good
96,20.39,7.73,197,Good
97,20.39,7.73,197,Good
98,20.39,7.73,197,Good
99,20.35,7.73,197,Good
100,20.36,7.73,197,Good
101,20.38,7.73,197,Good
102,20.35,7.73,197,Good
103,20.37,7.73,197,Good
104,20.35,7.73,197,Good
105,20.36,7.73,197,Good
106,20.37,7.73,197,Good
107,20.35,7.73,197,Good
108,20.37,7.73,197,Good
109,20.38,7.73,197,Good
110,20.38,7.73,197,Good
111,20.36,7.73,197,Good
112,20.33,7.72,197,Good
113,20.3,7.72,197,Good
114,20.31,7.72,197,Good
115,20.31,7.72,197,Good
116,16.99,7.72,197,Good
117,20.27,7.72,197,Good
118,20.26,7.72,197,Good
119,20.27,7.72,197,Good
120,20.28,7.72,197,Good
121,20.26,7.72,197,Good
122,20.25,7.72,197,Good
123,20.27,7.72,197,Good
124,20.28,7.72,197,Good
125,16.99,7.72,197,Good
126,20.26,7.72,197,Good
127,20.26,7.72,197,Good
128,20.26,7.72,197,Good
129,20.23,7.72,197,Good
130,20.24,7.72,197,Good
131,20.22,7.72,197,Good
132,20.21,7.72,197,Good
133,20.19,7.72,197,Good
134,20.16,7.72,197,Good
135,20.14,7.72,197,Good
136,20.13,7.72,197,Good
137,20.13,7.72,197,Good
138,20.14,7.72,197,Good
139,20.13,7.72,197,Good
140,20.11,7.72,197,Good
141,20.09,7.72,197,Good
142,20.09,7.72,197,Good
143,20.07,7.72,197,Good
144,20.06,7.72,197,Good
145,20.08,7.72,197,Good
146,20.08,7.72,197,Good
147,20.07,7.72,197,Good
148,20.07,7.72,197,Good
149,20.09,7.72,197,Good
150,20.09,7.72,197,Good
151,20.11,7.72,197,Good
152,20.13,7.72,197,Good
153,20.15,7.72,197,Good
154,20.12,7.72,197,Good
155,20.15,7.72,197,Good
156,20.13,7.72,197,Good
157,20.11,7.72,197,Good
158,20.12,7.72,197,Good
159,20.11,7.72,197,Good
160,20.11,7.72,197,Good
161,20.08,7.72,197,Good
162,20.08,7.72,197,Good
163,20.08,7.72,197,Good
164,20.1,7.73,197,Good
165,20.08,7.73,197,Good
166,20.05,7.73,197,Good
167,20.05,7.73,197,Good
168,20.05,7.73,197,Good
169,20.03,7.73,197,Good
170,20.05,7.73,197,Good
171,20.04,7.73,197,Good
172,20.05,7.73,197,Good
173,20.05,7.73,197,Good
174,20.04,7.73,197,Good
175,20.04,7.73,197,Good
176,20.03,7.74,197,Good
177,20.03,7.74,197,Good
178,20,7.74,197,Good
179,20.02,7.74,197,Good
180,20.02,7.74,197,Good
181,20.03,7.75,197,Good
182,20.03,7.75,197,Good
183,20.01,7.75,197,Good
184,20,7.75,197,Good
185,19.99,7.75,197,Good
186,19.96,7.76,197,Good
187,19.95,7.76,197,Good
188,19.93,7.76,197,Good
189,19.89,7.76,196,Good
190,19.87,7.77,196,Good
191,19.84,7.77,196,Good
192,19.8,7.78,196,Good
193,19.77,7.78,196,Good
194,19.75,7.78,196,Good
195,30.1,7.79,196,Good
196,19.69,7.79,196,Good
197,19.65,7.8,196,Good
198,19.64,7.8,196,Good
199,19.61,7.81,196,Good
200,19.58,7.81,196,Good
201,19.55,7.82,196,Good
202,19.55,7.82,196,Good
203,19.51,7.83,196,Good
204,19.46,7.83,196,Good
205,19.46,7.84,196,Good
206,19.43,7.85,196,Good
207,19.43,7.85,196,Good
208,19.39,7.86,196,Good
209,19.37,7.86,196,Good
210,19.34,7.87,196,Good
211,19.3,7.88,196,Good
212,19.26,7.88,196,Good
213,19.25,7.89,196,Good
214,19.25,7.89,196,Good
215,19.22,7.9,196,Good
216,19.23,7.9,196,Good
217,19.22,7.91,196,Good
218,19.21,7.92,196,Good
219,19.21,7.92,196,Good
220,16.6,7.93,196,Good
221,19.16,7.93,196,Good
222,30.5,7.94,196,Good
223,19.12,7.94,196,Good
224,19.11,7.95,196,Good
225,19.1,7.95,196,Good
226,19.08,7.96,196,Good
227,31.45,7.96,196,Good
228,31.45,7.97,196,Good
229,19.04,7.97,196,Good
230,19.01,7.97,196,Good
231,19.01,5.99,196,Good
232,19.02,5.99,196,Good
233,18.99,7.99,196,Good
234,18.96,7.99,196,Good
235,15,8,196,Good
236,18.91,8,196,Good
237,18.88,8.01,196,Good
238,18.85,8.01,196,Good
239,18.83,8.01,196,Good
240,18.84,8.02,196,Good
241,18.81,8.02,196,Good
242,18.82,8.03,196,Good
243,18.78,8.03,196,Good
244,18.78,8.03,196,Good
245,18.75,8.04,196,Good
246,18.76,8.04,196,Good
247,18.74,8.04,196,Good
248,18.71,8.05,196,Good
249,18.72,8.05,196,Good
250,18.73,8.05,196,Good
251,18.72,8.06,196,Good
252,18.7,8.06,196,Good
253,31.33,8.07,196,Good
254,18.66,8.07,196,Good
255,18.64,8.07,196,Good
256,18.63,8.08,196,Good
257,18.6,8.08,196,Good
258,18.61,8.08,196,Good
259,31,8.08,196,Good
260,18.56,8.09,196,Good
261,18.56,8.09,196,Good
262,31,8.09,196,Good
263,18.56,8.1,196,Good
264,18.54,8.1,196,Good
265,18.52,8.1,196,Good
266,18.54,8.1,196,Good
267,18.53,8.11,196,Good
268,18.52,8.11,196,Good
269,18.52,8.11,196,Good
270,18.53,8.11,196,Good
271,18.51,8.12,196,Good
272,18.52,8.12,196,Good
273,18.53,8.12,196,Good
274,18.54,8.12,196,Good
275,18.52,8.13,196,Good
276,18.51,8.13,196,Good
277,18.52,8.13,196,Good
278,18.5,8.13,196,Good
279,18.48,8.14,196,Good
280,18.48,8.14,196,Good
281,18.46,8.14,196,Good
282,18.46,8.14,196,Good
283,18.48,8.15,196,Good
284,18.46,8.15,196,Good
285,18.46,8.15,196,Good
286,18.44,8.15,196,Good
287,18.45,8.15,196,Good
288,18.43,8.15,196,Good
289,18.42,8.16,196,Good
290,18.4,8.16,196,Good
291,18.41,8.16,196,Good
292,18.4,8.16,196,Good
293,15.5,8.16,196,Good
294,18.4,8.17,196,Good
295,18.37,8.17,196,Good
296,15.5,8.17,196,Good
297,18.37,8.17,196,Good
298,15.5,8.17,196,Good
299,18.37,8.17,196,Good
300,18.4,8.17,196,Good
301,18.41,8.18,196,Good
302,18.4,8.18,196,Good
303,18.4,8.18,196,Good
304,18.41,8.18,196,Good
305,18.41,8.18,196,Good
306,18.39,8.18,196,Good
307,15.5,8.18,196,Good
308,18.39,8.19,196,Good
309,18.36,8.19,196,Good
310,18.34,8.19,196,Good
311,18.33,8.19,196,Good
312,18.31,8.19,196,Good
313,18.3,8.19,196,Good
314,18.29,8.19,196,Good
315,18.27,8.19,196,Good
316,18.29,8.2,196,Good
317,18.29,8.2,196,Good
318,18.28,8.2,196,Good
319,18.26,8.2,196,Good
320,18.24,8.2,196,Good
321,18.24,8.2,196,Good
322,18.25,8.2,196,Good
323,18.25,8.2,196,Good
324,18.24,8.2,196,Good
325,18.22,8.2,196,Good
326,18.22,8.21,196,Good
327,18.2,8.21,196,Good
328,18.23,8.21,196,Good
329,18.24,8.21,196,Good
330,18.26,8.21,195,Good
331,18.24,8.21,195,Good
332,18.23,8.21,195,Good
333,18.23,8.21,195,Good
334,18.23,8.21,195,Good
335,18.23,8.21,195,Good
336,18.22,8.21,195,Good
337,18.21,8.21,195,Good
338,18.19,8.21,195,Good
339,18.2,8.22,195,Good
340,18.19,8.22,195,Good
341,18.2,8.22,195,Good
342,18.21,8.22,195,Good
343,18.21,8.22,195,Good
344,18.2,8.22,195,Good
345,18.18,8.22,195,Good
346,18.17,8.22,195,Good
347,18.16,8.22,195,Good
348,18.18,8.22,195,Good
349,18.18,8.22,195,Good
350,18.17,8.22,195,Good
351,18.14,8.22,195,Good
352,18.13,8.22,195,Good
353,18.14,8.22,195,Good
354,18.13,8.22,195,Good
355,18.13,8.22,195,Good
356,18.15,8.22,195,Good
357,18.16,8.22,195,Good
358,18.18,8.22,195,Good
359,18.18,8.22,195,Good
360,18.2,8.22,195,Good
361,18.22,8.22,195,Good
362,18.23,8.22,195,Good
363,18.24,8.22,195,Good
364,18.25,8.23,195,Good
365,18.24,8.23,195,Good
366,18.22,8.23,195,Good
367,18.24,8.23,195,Good
368,18.25,8.23,195,Good
369,18.26,8.23,195,Good
370,18.27,8.23,195,Good
371,18.26,8.23,195,Good
372,18.26,8.23,195,Good
373,18.26,8.23,195,Good
374,18.23,8.23,195,Good
375,18.23,8.23,195,Good
376,18.24,8.23,195,Good
377,18.2,8.23,195,Good
378,18.19,8.23,195,Good
379,18.16,8.23,195,Good
380,18.17,8.23,195,Good
381,18.16,8.23,195,Good
382,18.17,8.23,195,Good
383,18.18,8.23,195,Good
384,18.15,8.23,195,Good
385,18.14,8.23,195,Good
386,18.14,8.23,195,Good
387,18.12,8.23,195,Good
388,18.13,8.23,195,Good
389,18.15,8.23,195,Good
390,18.15,8.23,195,Good
391,18.12,8.23,195,Good
392,18.13,8.23,195,Good
393,18.11,8.23,195,Good
394,18.1,8.23,195,Good
395,18.12,8.23,195,Good
396,18.11,8.23,195,Good
397,18.12,8.23,195,Good
398,18.11,8.23,195,Good
399,18.1,8.23,195,Good
400,18.11,8.23,195,Good
401,18.13,8.23,195,Good
402,18.1,8.23,195,Good
403,18.07,8.23,195,Good
404,16.5,8.23,195,Good
405,18.06,8.23,195,Good
406,18.04,8.23,195,Good
407,18.02,8.23,195,Good
408,18,8.23,195,Good
409,18,8.23,195,Good
410,31.22,8.23,195,Good
411,17.96,8.23,195,Good
412,17.97,8.22,195,Good
413,17.97,8.22,195,Good
414,17.97,8.22,195,Good
415,17.96,8.22,195,Good
416,17.95,8.22,195,Good
417,31.22,8.22,195,Good
418,17.97,8.22,195,Good
419,17.95,8.22,195,Good
420,17.94,8.22,195,Good
421,17.95,8.22,195,Good
422,17.95,8.22,195,Good
423,17.93,8.22,195,Good
424,17.94,8.22,195,Good
425,17.92,8.22,195,Good
426,17.92,8.22,195,Good
427,17.94,8.23,195,Good
428,17.93,8.23,195,Good
429,17.93,8.23,195,Good
430,17.92,8.23,195,Good
431,17.93,8.23,195,Good
432,17.95,8.23,195,Good
433,17.94,8.23,195,Good
434,17.94,8.23,195,Good
435,17.93,8.23,195,Good
436,17.93,8.23,195,Good
437,17.91,8.23,195,Good
438,17.94,8.23,195,Good
439,17.93,8.23,195,Good
440,17.94,8.23,195,Good
441,17.95,8.23,195,Good
442,17.97,8.23,195,Good
443,17.97,8.23,195,Good
444,17.95,8.23,195,Good
445,17.93,8.23,195,Good
446,17.93,8.23,195,Good
447,17.91,8.23,195,Good
448,17.9,8.23,195,Good
449,17.88,8.23,195,Good
450,17.86,8.23,195,Good
451,17.85,8.23,195,Good
452,17.88,8.23,195,Good
453,17.87,8.23,195,Good
454,17.89,8.23,195,Good
455,17.9,8.23,195,Good
456,17.89,8.23,195,Good
457,17.9,8.23,195,Good
458,17.89,8.23,195,Good
459,17.9,8.23,195,Good
460,17.88,8.24,195,Good
461,17.89,8.24,195,Good
462,17.88,8.24,195,Good
463,17.88,8.24,195,Good
464,17.86,8.24,195,Good
465,17.85,8.24,195,Good
466,17.83,8.24,195,Good
467,31.3,8.24,195,Good
468,17.8,8.24,195,Good
469,17.78,8.24,195,Good
470,17.77,8.24,195,Good
471,17.79,8.24,195,Good
472,31.4,8.24,195,Good
473,17.8,8.24,195,Good
474,17.79,8.24,195,Good
475,17.79,8.24,195,Good
476,17.79,8.24,195,Good
477,17.8,8.24,195,Good
478,17.78,8.24,195,Good
479,17.79,8.24,195,Good
480,17.78,8.24,195,Good
481,17.77,8.24,195,Good
482,17.78,8.25,195,Good
483,17.79,8.25,195,Good
484,31.4,8.25,195,Good
485,31.4,8.25,195,Good
486,31.4,8.25,195,Good
487,17.83,8.25,195,Good
488,17.84,8.25,195,Good
489,17.84,8.25,195,Good
490,17.84,8.25,195,Good
491,17.83,8.25,195,Good
492,17.85,8.25,195,Good
493,17.85,8.25,195,Good
494,17.83,8.25,195,Good
495,31.3,8.25,195,Good
496,17.8,8.25,195,Good
497,17.8,8.25,195,Good
498,17.79,8.25,195,Good
499,17.79,8.25,195,Good
500,17.79,8.25,195,Good
501,31.4,8.25,195,Good
502,17.78,9.1,195,Bad
503,17.78,9.1,195,Bad
504,17.76,9.1,195,Bad
505,17.74,9.1,195,Bad
506,17.74,9.1,195,Bad
507,17.76,9.1,195,Bad
508,17.73,9.1,195,Bad
509,17.73,9.1,195,Bad
510,17.75,9.1,195,Bad
511,17.73,9.1,195,Bad
512,17.72,9.1,195,Bad
513,17.71,9.1,195,Bad
514,17.68,9.1,195,Bad
515,17.69,9.1,195,Bad
516,17.7,9.1,195,Bad
517,17.7,9.1,195,Bad
518,17.68,9.1,195,Bad
519,17.66,9.1,195,Bad
520,17.68,9.25,195,Bad
521,17.67,9.25,195,Bad
522,17.66,9.25,195,Bad
523,17.64,9.25,195,Bad
524,17.64,9.25,195,Bad
525,17.62,9.25,195,Bad
526,17.6,9.25,195,Bad
527,17.59,9.25,195,Bad
528,17.6,9.25,195,Bad
529,17.58,9.25,195,Bad
530,17.61,9.25,195,Bad
531,17.61,9.25,195,Bad
532,17.61,9.25,195,Bad
533,17.63,9.25,195,Bad
534,17.62,9.25,195,Bad
535,17.62,9.25,195,Bad
536,17.6,9.25,195,Bad
537,17.59,9.3,195,Bad
538,17.58,9.3,195,Bad
539,17.6,9.3,195,Bad
540,17.6,9.3,195,Bad
541,17.58,9.3,195,Bad
542,17.57,9.3,195,Bad
543,17.57,9.3,195,Bad
